Epoch 130:  train/loss: 0.1508   valid/loss: 0.6881   train/acc: 0.6983   valid/acc: 0.5962
Epoch 131:  train/loss: 0.1575   valid/loss: 0.6720   train/acc: 0.7107   valid/acc: 0.6538
Epoch 132:  train/loss: 1.5633   valid/loss: 0.6696   train/acc: 0.6983   valid/acc: 0.5962
Epoch 133:  train/loss: 0.1745   valid/loss: 0.6914   train/acc: 0.7190   valid/acc: 0.5962
Epoch 134:  train/loss: 0.9682   valid/loss: 0.6846   train/acc: 0.6983   valid/acc: 0.6154
Epoch 135:  train/loss: 0.3026   valid/loss: 0.7119   train/acc: 0.6983   valid/acc: 0.5769
Epoch 136:  train/loss: 1.5449   valid/loss: 0.7260   train/acc: 0.7438   valid/acc: 0.5577
Epoch 137:  train/loss: 0.3619   valid/loss: 0.7391   train/acc: 0.7087   valid/acc: 0.5769
Epoch 138:  train/loss: 0.2048   valid/loss: 0.7400   train/acc: 0.6983   valid/acc: 0.5769
Epoch 139:  train/loss: 0.4906   valid/loss: 0.7821   train/acc: 0.6860   valid/acc: 0.5577
Epoch 140:  train/loss: 1.3346   valid/loss: 0.7601   train/acc: 0.6818   valid/acc: 0.5385
Epoch 141:  train/loss: 0.1917   valid/loss: 0.7747   train/acc: 0.6736   valid/acc: 0.5192
Epoch 142:  train/loss: 0.4006   valid/loss: 0.7898   train/acc: 0.6777   valid/acc: 0.5192
Epoch 143:  train/loss: 0.3829   valid/loss: 0.7748   train/acc: 0.7190   valid/acc: 0.5385
Epoch 144:  train/loss: 0.6751   valid/loss: 0.8033   train/acc: 0.7025   valid/acc: 0.5962
Epoch 145:  train/loss: 0.1192   valid/loss: 0.7837   train/acc: 0.7397   valid/acc: 0.5769
Epoch 146:  train/loss: 1.5411   valid/loss: 0.7108   train/acc: 0.7438   valid/acc: 0.6154
Epoch 147:  train/loss: 0.7484   valid/loss: 0.6816   train/acc: 0.6612   valid/acc: 0.6154
Epoch 148:  train/loss: 0.0967   valid/loss: 0.6627   train/acc: 0.6942   valid/acc: 0.6154
Epoch 149:  train/loss: 0.2291   valid/loss: 0.6619   train/acc: 0.6777   valid/acc: 0.5962
Epoch 150:  train/loss: 1.5028   valid/loss: 0.6596   train/acc: 0.6818   valid/acc: 0.6346
