Epoch 173:  train/loss: 0.1001   valid/loss: 0.6308   train/acc: 0.7149   valid/acc: 0.7115
Epoch 174:  train/loss: 0.2516   valid/loss: 0.6318   train/acc: 0.7107   valid/acc: 0.7308
Epoch 175:  train/loss: 0.4654   valid/loss: 0.6385   train/acc: 0.7107   valid/acc: 0.6731
Epoch 176:  train/loss: 0.1691   valid/loss: 0.6414   train/acc: 0.7211   valid/acc: 0.7115
Epoch 177:  train/loss: 2.1501   valid/loss: 0.6330   train/acc: 0.6818   valid/acc: 0.6923
Epoch 178:  train/loss: 0.1640   valid/loss: 0.6361   train/acc: 0.7314   valid/acc: 0.6923
Epoch 179:  train/loss: 0.4086   valid/loss: 0.6353   train/acc: 0.7025   valid/acc: 0.6923
Epoch 180:  train/loss: 0.4242   valid/loss: 0.6311   train/acc: 0.6963   valid/acc: 0.7308
Epoch 181:  train/loss: 0.1998   valid/loss: 0.6294   train/acc: 0.7149   valid/acc: 0.7115
Epoch 182:  train/loss: 0.2549   valid/loss: 0.6167   train/acc: 0.7025   valid/acc: 0.7500
Epoch 183:  train/loss: 0.5152   valid/loss: 0.6322   train/acc: 0.7231   valid/acc: 0.7308
Epoch 184:  train/loss: 0.4450   valid/loss: 0.6263   train/acc: 0.7314   valid/acc: 0.7308
Epoch 185:  train/loss: 0.6858   valid/loss: 0.6244   train/acc: 0.6777   valid/acc: 0.7500
Epoch 186:  train/loss: 0.8501   valid/loss: 0.6284   train/acc: 0.7397   valid/acc: 0.7308
Epoch 187:  train/loss: 0.7984   valid/loss: 0.6351   train/acc: 0.7169   valid/acc: 0.7115
Epoch 188:  train/loss: 0.8643   valid/loss: 0.6318   train/acc: 0.7107   valid/acc: 0.7308
Epoch 189:  train/loss: 0.1446   valid/loss: 0.6251   train/acc: 0.7417   valid/acc: 0.7115
Epoch 190:  train/loss: 0.9348   valid/loss: 0.6231   train/acc: 0.7273   valid/acc: 0.7308
Epoch 191:  train/loss: 0.7360   valid/loss: 0.6264   train/acc: 0.7149   valid/acc: 0.7115
Epoch 192:  train/loss: 1.3875   valid/loss: 0.6182   train/acc: 0.7273   valid/acc: 0.6923
Epoch 193:  train/loss: 0.0943   valid/loss: 0.6141   train/acc: 0.7107   valid/acc: 0.6923
Epoch 194:  train/loss: 1.3427   valid/loss: 0.6094   train/acc: 0.7025   valid/acc: 0.6923
Epoch 195:  train/loss: 0.4609   valid/loss: 0.6062   train/acc: 0.7273   valid/acc: 0.6923
Epoch 196:  train/loss: 0.5502   valid/loss: 0.6010   train/acc: 0.6983   valid/acc: 0.7308
Epoch 197:  train/loss: 0.8000   valid/loss: 0.5929   train/acc: 0.7066   valid/acc: 0.7500
Epoch 198:  train/loss: 0.7200   valid/loss: 0.5938   train/acc: 0.7479   valid/acc: 0.7500
Epoch 199:  train/loss: 0.4532   valid/loss: 0.5966   train/acc: 0.7087   valid/acc: 0.7308
Epoch 200:  train/loss: 0.3495   valid/loss: 0.5989   train/acc: 0.7397   valid/acc: 0.7308

Training completed!

* Test Results *
------------------------------
Accuracy: 56.60%
------------------------------
